acc_x;acc_y;acc_z;grav_x;grav_y;grav_z;lin_acc_x;lin_acc_y;lin_acc_z;gyro_x;gyro_y;gyro_z;LIGHT;mag_x;mag_y;mag_z;azimuth;pitch;roll;proximity;pressure;sound;lat;lon;altitude;alt_google;loc_alt_pres;speed_kmh;accuracy;loc_orientation;sats_in_range;lapsed;datetime
0.882;0.115;9.807;1.056;0.078;9.749;-0.173;0.053;0.254;-0.005;-0.018;0.04;11.0;14.0;10.4;-50.1;298.3;-0.5;-6.2;0.0;1022.3;62.03;47.60878;-122.25914;-64.5;NaN;;10.1;9.67742;306.3;12 / 14;8126007;2015-07-28 19:44:47:799
1.575;0.218;8.977;1.39;0.153;9.706;0.188;-0.043;-0.406;-0.019;-0.029;0.019;9.0;12.4;9.7;-50.7;299.9;-1.0;-7.9;0.0;1022.2;58.0;47.6088;-122.25917;-67.7;NaN;;10.2;9.67742;297.4;11 / 13;8127007;2015-07-28 19:44:48:799
1.661;0.23;8.932;1.635;0.26;9.666;0.104;-0.02;-0.388;0.019;0.015;-0.008;11.0;11.8;9.1;-50.9;296.8;-1.5;-9.5;0.0;1022.2;58.57;47.60881;-122.2592;-67.7;NaN;;10.6;9.67742;300.4;10 / 14;8128007;2015-07-28 19:44:49:799
1.265;0.261;9.363;1.482;0.1;9.693;-0.19;0.155;-0.149;0.005;0.015;-0.047;11.0;11.9;10.4;-50.8;297.2;-0.3;-9.0;0.0;1022.2;58.52;47.60883;-122.25924;-67.7;NaN;;10.2;9.67742;300.6;10 / 14;8129007;2015-07-28 19:44:50:799
1.572;0.201;9.884;1.669;0.097;9.663;0.176;-0.043;0.422;0.005;0.01;-0.078;13.0;12.3;11.6;-50.9;301.3;-0.6;-9.8;0.0;1022.2;60.68;47.60884;-122.25927;-67.7;NaN;;10.5;9.67742;299.4;12 / 14;8130008;2015-07-28 19:44:51:800
1.369;0.173;9.279;1.347;0.218;9.711;0.112;-0.026;-0.108;0.001;0.007;-0.043;13.0;12.1;11.5;-50.4;302.7;-1.3;-7.9;0.0;1022.2;60.99;47.60885;-122.2593;-71.0;NaN;;9.9;9.67742;306.5;13 / 15;8131007;2015-07-28 19:44:52:799
0.866;0.153;9.931;0.919;0.131;9.763;-0.032;0.038;0.203;0.044;0.041;-0.033;8.0;13.6;12.5;-50.1;304.2;-0.8;-5.4;0.0;1022.3;62.83;47.60886;-122.25932;-71.0;NaN;;10.4;9.67742;304.5;13 / 15;8132006;2015-07-28 19:44:53:798
0.595;0.042;9.997;0.548;0.003;9.791;0.115;-0.027;0.417;0.002;0.004;0.0;8.0;15.2;12.7;-49.3;306.5;-0.1;-3.2;0.0;1022.3;57.92;47.60888;-122.25935;-67.7;NaN;;10.4;9.67742;311.2;13 / 15;8133006;2015-07-28 19:44:54:798
0.308;0.115;9.156;0.162;0.232;9.803;-0.041;-0.037;-0.387;-0.03;0.003;0.086;8.0;16.7;12.2;-49.3;306.4;-1.4;-0.9;0.0;1022.2;58.07;47.6089;-122.25938;-67.7;NaN;;10.1;9.67742;307.6;11 / 13;8134007;2015-07-28 19:44:55:799
0.289;0.317;8.873;0.331;0.156;9.8;-0.044;0.07;-0.348;0.027;-0.016;0.031;8.0;16.8;12.0;-49.4;304.4;-0.9;-1.9;0.0;1022.2;59.21;47.60891;-122.25941;-67.7;NaN;;10.5;9.67742;310.3;12 / 14;8135008;2015-07-28 19:44:56:800
0.787;0.199;8.984;0.675;0.276;9.779;0.107;-0.073;-0.671;0.058;-0.002;0.025;8.0;15.4;10.6;-50.0;303.5;-1.3;-3.9;0.0;1022.2;62.44;47.60893;-122.25945;-67.7;NaN;;10.3;9.67742;307.3;12 / 14;8136008;2015-07-28 19:44:57:800
1.123;0.211;9.703;1.098;0.11;9.744;0.072;0.041;0.221;-0.011;-0.028;-0.032;11.0;14.1;10.9;-50.6;300.5;-0.6;-6.4;0.0;1022.3;59.16;47.60894;-122.25949;-67.7;NaN;;10.7;9.67742;295.5;12 / 14;8137007;2015-07-28 19:44:58:799
1.342;0.096;9.534;1.184;0.058;9.735;0.229;0.0;-0.097;0.008;-0.011;-0.02;9.0;13.2;11.9;-50.1;303.0;-0.3;-6.9;0.0;1022.2;59.72;47.60895;-122.25952;-64.5;NaN;;9.9;9.67742;306.2;12 / 15;8138007;2015-07-28 19:44:59:799
1.269;0.153;9.673;1.345;0.132;9.713;-0.072;-0.008;0.3;0.0;-0.021;-0.038;13.0;12.5;12.3;-50.2;304.0;-0.8;-7.9;0.0;1022.2;56.46;47.60896;-122.25955;-64.5;NaN;;10.2;9.67742;306.4;12 / 14;8139007;2015-07-28 19:45:00:799
1.016;0.173;9.352;1.097;0.129;9.744;-0.059;0.074;-0.086;0.005;0.03;-0.006;11.0;12.4;12.4;-50.3;305.5;-0.7;-6.6;0.0;1022.3;58.26;47.60898;-122.25957;-64.5;NaN;;10.0;9.67742;308.5;12 / 15;8140007;2015-07-28 19:45:01:799
0.968;0.167;9.769;1.019;0.172;9.752;-0.038;-0.001;0.177;0.039;0.003;-0.026;11.0;14.0;13.0;-49.9;305.2;-0.7;-6.1;0.0;1022.2;60.03;47.60899;-122.2596;-67.7;NaN;;10.7;9.67742;311.0;12 / 14;8141008;2015-07-28 19:45:02:800
0.806;0.077;9.434;0.807;0.104;9.773;0.026;-0.004;0.019;-0.042;0.012;0.0;8.0;14.5;11.7;-50.2;305.2;-0.9;-4.8;0.0;1022.2;59.88;47.60901;-122.25962;-67.7;NaN;;10.7;9.67742;310.5;12 / 14;8142007;2015-07-28 19:45:03:799
0.51;0.23;9.561;0.595;0.148;9.787;-0.054;0.034;-0.078;0.036;0.015;0.023;8.0;14.4;13.0;-49.7;307.3;-0.4;-4.1;0.0;1022.3;62.26;47.60903;-122.25966;-67.7;NaN;;10.0;9.67742;311.0;12 / 14;8143007;2015-07-28 19:45:04:799
0.787;0.058;10.209;0.702;-0.002;9.781;0.175;0.036;0.59;-0.001;-0.026;-0.03;11.0;15.0;13.6;-48.9;307.1;0.0;-4.1;0.0;1022.3;59.13;47.60905;-122.25969;-71.0;NaN;;10.6;9.67742;309.8;12 / 14;8144007;2015-07-28 19:45:05:799
0.845;0.115;9.31;0.809;0.164;9.772;0.047;-0.043;-0.153;-0.017;-0.02;-0.008;8.0;14.1;12.4;-50.1;306.0;-1.2;-4.5;0.0;1022.2;60.47;47.60907;-122.25971;-71.0;NaN;;9.5;9.67742;313.6;10 / 12;8145007;2015-07-28 19:45:06:799
0.942;0.028;10.131;0.933;0.091;9.762;0.048;-0.069;0.542;-0.012;0.033;-0.019;11.0;13.5;13.2;-50.1;305.8;-0.6;-5.6;0.0;1022.3;58.58;47.60909;-122.25973;-71.0;NaN;;9.9;9.67742;316.3;13 / 15;8146007;2015-07-28 19:45:07:799
