year,month,day,hod,temp,pressure,direction,dirfixed,speed
2015,7,28,17.966666666666665,77.9,30.1,318.0,318.0,11.6
2015,7,28,17.983333333333334,77.9,30.1,320.0,320.0,10.2
2015,7,28,18.0,77.9,30.1,319.0,319.0,10.7
2015,7,28,18.016666666666666,77.9,30.1,317.0,317.0,12.0
2015,7,28,18.033333333333335,77.9,30.1,313.0,313.0,10.0
2015,7,28,18.05,78.0,30.1,321.0,321.0,9.2
2015,7,28,18.066666666666666,78.1,30.1,317.0,317.0,8.9
2015,7,28,18.083333333333332,78.0,30.1,311.0,311.0,8.3
2015,7,28,18.1,78.0,30.1,326.0,326.0,10.1
2015,7,28,18.116666666666667,78.1,30.1,327.0,327.0,10.1
2015,7,28,18.133333333333333,78.1,30.1,323.0,323.0,10.1
2015,7,28,18.15,78.1,30.1,323.0,323.0,9.2
2015,7,28,18.166666666666668,78.0,30.1,319.0,319.0,10.5
2015,7,28,18.183333333333334,78.1,30.1,322.0,322.0,9.6
2015,7,28,18.2,78.1,30.1,313.0,313.0,9.8
2015,7,28,18.216666666666665,78.0,30.1,326.0,326.0,10.1
2015,7,28,18.233333333333334,78.0,30.1,313.0,313.0,11.0
2015,7,28,18.25,78.0,30.1,314.0,314.0,10.1
2015,7,28,18.266666666666666,78.1,30.1,322.0,322.0,11.2
2015,7,28,18.283333333333335,78.1,30.1,324.0,324.0,10.1
2015,7,28,18.3,78.2,30.1,325.0,325.0,9.3
2015,7,28,18.316666666666666,78.1,30.1,321.0,321.0,10.4
2015,7,28,18.333333333333332,78.1,30.1,320.0,320.0,9.2
2015,7,28,18.35,78.2,30.1,317.0,317.0,9.6
2015,7,28,18.366666666666667,78.1,30.1,321.0,321.0,9.8
2015,7,28,18.383333333333333,78.1,30.1,319.0,319.0,8.9
2015,7,28,18.4,78.1,30.1,327.0,327.0,8.5
2015,7,28,18.416666666666668,78.1,30.1,324.0,324.0,10.7
2015,7,28,18.433333333333334,78.2,30.1,324.0,324.0,10.0
2015,7,28,18.45,78.3,30.1,320.0,320.0,10.4
2015,7,28,18.466666666666665,78.3,30.1,312.0,312.0,11.1
2015,7,28,18.483333333333334,78.2,30.1,311.0,311.0,7.8
2015,7,28,18.5,78.3,30.1,318.0,318.0,8.9
2015,7,28,18.55,78.3,30.1,322.0,322.0,6.9
2015,7,28,18.566666666666666,78.2,30.1,323.0,323.0,6.9
2015,7,28,18.583333333333332,78.2,30.1,324.0,324.0,7.5
2015,7,28,18.6,78.2,30.1,335.0,335.0,9.7
2015,7,28,18.616666666666667,78.2,30.1,327.0,327.0,9.6
2015,7,28,18.633333333333333,78.3,30.1,329.0,329.0,10.6
2015,7,28,18.65,78.3,30.1,327.0,327.0,11.7
2015,7,28,18.666666666666668,78.3,30.1,328.0,328.0,9.9
2015,7,28,18.683333333333334,78.2,30.1,314.0,314.0,9.0
2015,7,28,18.7,78.2,30.1,311.0,311.0,9.7
2015,7,28,18.716666666666665,78.2,30.1,317.0,317.0,9.7
2015,7,28,18.733333333333334,78.3,30.1,325.0,325.0,9.1
2015,7,28,18.75,78.3,30.1,322.0,322.0,9.2
2015,7,28,18.766666666666666,78.3,30.1,327.0,327.0,8.6
2015,7,28,18.783333333333335,78.3,30.1,320.0,320.0,9.4
2015,7,28,18.8,78.2,30.1,324.0,324.0,7.0
2015,7,28,18.816666666666666,78.4,30.1,331.0,331.0,8.4
2015,7,28,18.833333333333332,78.4,30.1,332.0,332.0,9.6
2015,7,28,18.85,78.3,30.1,328.0,328.0,9.7
2015,7,28,18.866666666666667,78.3,30.1,325.0,325.0,9.1
2015,7,28,18.883333333333333,78.4,30.1,332.0,332.0,7.8
2015,7,28,18.9,78.3,30.1,308.0,308.0,8.6
2015,7,28,18.916666666666668,78.2,30.1,319.0,319.0,8.8
2015,7,28,18.933333333333334,78.3,30.1,319.0,319.0,8.5
2015,7,28,18.95,78.2,30.1,305.0,305.0,7.9
2015,7,28,18.966666666666665,78.1,30.1,313.0,313.0,8.4
2015,7,28,18.983333333333334,78.1,30.1,307.0,307.0,8.5
2015,7,28,19.0,78.0,30.1,305.0,305.0,8.9
2015,7,28,19.016666666666666,78.0,30.1,316.0,316.0,8.9
